id,dialect_region,token,gloss_ar,source,filename,source_url
31,Latakian,علب,علب,voice_file,voice_record_1.mp3,
32,Latakian,البريانطين,جيل الشعر,voice_file,voice_record_1.mp3,
33,Latakian,اما عن طيبو,عن غير قصد,voice_file,voice_record_1.mp3,
34,Latakian,بدي,أريد,voice_file,voice_record_1.mp3,
35,Latakian,بأديش,بكم,voice_file,voice_record_2.mp3,
36,Latakian,تحسبلنا,تحسب لنا,voice_file,voice_record_2.mp3,
37,Latakian,جارك,جارك,voice_file,voice_record_2.mp3,
38,Latakian,بنصف,بنصف,voice_file,voice_record_2.mp3,
39,Latakian,السعر,السعر,voice_file,voice_record_2.mp3,
40,Latakian,بس,فقط,voice_file,voice_record_2.mp3,
41,Latakian,ننفعك,نساعدك,voice_file,voice_record_2.mp3,
42,Latakian,دلتني,دلتني,voice_file,voice_record_2.mp3,
43,Latakian,قالت,قالت,voice_file,voice_record_2.mp3,
44,Latakian,ابن,ابن,voice_file,voice_record_2.mp3,
45,Latakian,حلال,حلال,voice_file,voice_record_2.mp3,
46,Latakian,آدمي,آدمي,voice_file,voice_record_2.mp3,
47,Latakian,غالواجي,يغلّي في السعر,voice_file,voice_record_2.mp3,
48,Latakian,بعدين,لاحقاً,voice_file,voice_record_2.mp3,
49,Latakian,شو فياا,ماذا بها,voice_file,voice_record_2.mp3,
50,Latakian,هون,هنا,voice_file,voice_record_3.mp3,
51,Latakian,منقوبة,مهترءة,voice_file,voice_record_3.mp3,
52,Latakian,شوفوا,إنظروا,voice_file,voice_record_3.mp3,
53,Latakian,كمان,أيضاً,voice_file,voice_record_3.mp3,
54,Latakian,خياط,خياطة,voice_file,voice_record_3.mp3,
55,Latakian,يرتيها,يخيطها,voice_file,voice_record_3.mp3,
56,Latakian,يزبطها,يصلحها,voice_file,voice_record_3.mp3,
57,Latakian,تكسر بخاطرو,تجعله حزيناً,voice_file,voice_record_4.mp3,
58,Latakian,عجبتو,أحبها,voice_file,voice_record_4.mp3,
59,Latakian,بيلبسا,يرتديها,voice_file,voice_record_4.mp3,
60,Latakian,ضبا,وظبها,voice_file,voice_record_5.mp3,
61,Latakian,مبيقيان,لم يبقى,voice_file,voice_record_5.mp3,
62,Latakian,غير,إلا,voice_file,voice_record_5.mp3,
63,Latakian,مصاري,أموال,voice_file,voice_record_5.mp3,
64,Latakian,عكيناها مشوى,مشينا مسافة طويلة,voice_file,voice_record_5.mp3,
65,Latakian,يلعو قلبك,يصيبك الهم,voice_file,voice_record_6.mp3,
66,Latakian,شيبك,ماذا بك,voice_file,voice_record_7.mp3,
67,Latakian,بصلتك محروقة,ليس لديك صبر,voice_file,voice_record_7.mp3,
68,Latakian,جوزك,زوجك,voice_file,voice_record_7.mp3,
69,Latakian,الشروطة,الرهانات,voice_file,voice_record_7.mp3,
70,Latakian,انتو,أنتم,voice_file,voice_record_7.mp3,
71,Latakian,ناطرينو,منتظرين,voice_file,voice_record_7.mp3,
72,Latakian,الزكا,الذكاء,voice_file,voice_record_8.mp3,
73,Latakian,موني,لست,voice_file,voice_record_8.mp3,
74,Latakian,يقطاعو لعمرك,تمني الموت,voice_file,voice_record_8.mp3,
75,Latakian,الغشم,أغبياء,voice_file,voice_record_8.mp3,
76,Latakian,اتو,أنتم,voice_file,voice_record_9.mp3,
77,Latakian,غشيمة,غبية,voice_file,voice_record_9.mp3,
78,Latakian,أخوي,أخي,voice_file,voice_record_9.mp3,
79,Latakian,الاستاز,الأستاذ,voice_file,voice_record_9.mp3,
80,Latakian,الجيئر,الوقح,voice_file,voice_record_10.mp3,
81,Latakian,اخطيته,يا له من مسكين,voice_file,voice_record_10.mp3,
82,Latakian,برأبتك,برقبتك,voice_file,voice_record_10.mp3,
83,Latakian,بيسة,قطة,voice_file,voice_record_10.mp3,
84,Latakian,بنلزق هذه العجينة,دعنا نحاول,voice_file,voice_record_10.mp3,
85,Latakian,مظبوط كلامك,كلامك صحيح,voice_file,voice_record_10.mp3,
86,Latakian,سد بوزك,أغلق فمك,voice_file,voice_record_11.mp3,
87,Latakian,بتستحي,تخجل,voice_file,voice_record_11.mp3,
88,Latakian,مهنديز,مهندس,voice_file,voice_record_11.mp3,
89,Latakian,مليان ومنتلي,غني ,voice_file,voice_record_11.mp3,
90,Latakian,خلانج,جديدة,voice_file,voice_record_11.mp3,
91,Latakian,بتي,إبنتي,voice_file,voice_record_11.mp3,
92,Latakian,لواح,شخص,voice_file,voice_record_11.mp3,
93,Latakian,تصمي,أحمق,voice_file,voice_record_11.mp3,
94,Latakian,نتوسة,قليلاً,voice_file,voice_record_11.mp3,
95,Latakian,حلس ملس,ناعم الملمس,voice_file,voice_record_11.mp3,
96,Latakian,واطي,منحط,voice_file,voice_record_18.mpeg,
97,Latakian,تحكي,تتكلم,voice_file,voice_record_18.mpeg,
98,Latakian,أبوي,أبي,voice_file,voice_record_18.mpeg,
99,Latakian,بستحي,تخجل,voice_file,voice_record_18.mpeg,
100,Latakian,قلتلي,قلت لي,voice_file,voice_record_18.mpeg,
101,Latakian,عنجد,جدياً,voice_file,voice_record_18.mpeg,
102,Latakian,هاي,هذه,voice_file,voice_record_19.mpeg,
103,Latakian,أطيب,ألذ,voice_file,voice_record_19.mpeg,
104,Latakian,متة,مشروب المتة,voice_file,voice_record_19.mpeg,
105,Latakian,بالضيعة,ضيعة,voice_file,voice_record_19.mpeg,
106,Latakian,ختيار النحس,عجوز كبير في العمر,voice_file,voice_record_19.mpeg,
107,Latakian,أتلاني الجوع,جائعة جداً,voice_file,voice_record_19.mpeg,
108,Latakian,أبقى في نفس,ليس لدي شغف,voice_file,voice_record_20.mpeg,
109,Latakian,سقالي,سماجة,voice_file,voice_record_20.mpeg,
110,Latakian,فتحي مخيك,فكري جيداً,voice_file,voice_record_19.mpeg,
111,Latakian,جدبي,شخص غبي,voice_file,voice_record_19.mpeg,
112,Latakian,بدك فت خبز,مبتدأ (ليس لديه خبرة),voice_file,voice_record_20.mpeg,
113,Latakian,السلك,الشرطة,voice_file,voice_record_20.mpeg,
114,Latakian,لا من تمك ولا من كمك,لم ينطق بحرف,voice_file,voice_record_16.mpeg,
115,Latakian,لا من كوعك ولا من بوعك,لم ينطق بحرف,voice_file,voice_record_16.mpeg,
116,Latakian,جوزة الحلق,الحنجرة,voice_file,voice_record_16.mpeg,
117,Latakian,أرصوبة,الحنجرة,voice_file,voice_record_16.mpeg,
118,Latakian,يأرط جوزتك,يقتلك,voice_file,voice_record_16.mpeg,
119,Latakian,كربة,مصيبة,voice_file,voice_record_16.mpeg,
120,Latakian,ييطيرهني,يقيله من منصبه,voice_file,voice_record_16.mpeg,
121,Latakian,بزماناتو,في الماضي,voice_file,voice_record_18.mpeg,
122,Latakian,خلق,ناس,voice_file,voice_record_18.mpeg,
123,Latakian,بالع خلق,أغرق عالم,voice_file,voice_record_18.mpeg,
124,Latakian,مستحي,خجول,voice_file,voice_record_18.mpeg,
125,Latakian,العمى في عيونك,تباً لك,voice_file,voice_record_18.mpeg,
126,Latakian,زتـّا,ارميها,website,,http://www.akhawia.net/showthread.php?t=116676
127,Latakian,اشْلفا,ارميها,website,,http://www.akhawia.net/showthread.php?t=116676
128,Latakian,ازْركو,حاصره,website,,http://www.akhawia.net/showthread.php?t=116676
129,Latakian,احْشكو,حاصره,website,,http://www.akhawia.net/showthread.php?t=116676
130,Latakian,خـَيسو,خربه,website,,http://www.akhawia.net/showthread.php?t=116676
131,Latakian,لمّط,إجمع,website,,http://www.akhawia.net/showthread.php?t=116676
132,Latakian,قـبّوع,كيس ,website,,http://www.akhawia.net/showthread.php?t=116676
133,Latakian,مسكليتة,دراجة,website,,http://www.akhawia.net/showthread.php?t=116676
134,Latakian,جاكيّة,سترة,website,,http://www.akhawia.net/showthread.php?t=116676
135,Latakian,باكيّة,حزمة,website,,http://www.akhawia.net/showthread.php?t=116676
136,Latakian,خفّافة,حذاء رياضة,website,,http://www.akhawia.net/showthread.php?t=116676
137,Latakian,السيبا,السلـّم,website,,http://www.akhawia.net/showthread.php?t=116676
138,Latakian,كتّ,املئ,website,,http://www.akhawia.net/showthread.php?t=116676
139,Latakian,عبّي,املئ,website,,http://www.akhawia.net/showthread.php?t=116676
140,Latakian,إبّا,ارفعها,website,,http://www.akhawia.net/showthread.php?t=116676
141,Latakian,جلموء,متملّق,website,,http://www.akhawia.net/showthread.php?t=116676
142,Latakian,معلاء,حشري,website,,http://www.akhawia.net/showthread.php?t=116676
143,Latakian,اشْكمو,اخذلوا,website,,http://www.akhawia.net/showthread.php?t=116676
144,Latakian,بالورب,بجانب,website,,http://www.akhawia.net/showthread.php?t=116676
145,Latakian,بالمايل,بجانب,website,,http://www.akhawia.net/showthread.php?t=116676
146,Latakian,شْـفاتير,شفاه,website,,http://www.akhawia.net/showthread.php?t=116676
147,Latakian,كلاكيش,اغراض,website,,http://www.akhawia.net/showthread.php?t=116676
148,Latakian,مأنتن,متسخ,website,,http://www.akhawia.net/showthread.php?t=116676
149,Latakian,صفدعة,ضفدع,website,,http://www.akhawia.net/showthread.php?t=116676
150,Latakian,ملنـّص,محظوط,website,,http://www.akhawia.net/showthread.php?t=116676
151,Latakian,مكن,قوي,website,,http://www.akhawia.net/showthread.php?t=116676
152,Latakian,دَرْبَكو,اوقعه ارضا,website,,http://www.akhawia.net/showthread.php?t=116676
153,Latakian,دَعْتـَرو,اوقعه ارضا,website,,http://www.akhawia.net/showthread.php?t=116676
154,Latakian,مْأنشِح,متسخ,website,,http://www.akhawia.net/showthread.php?t=116676
155,Latakian,ألشين,جرابات,website,,http://www.akhawia.net/showthread.php?t=116676
156,Latakian,ألْشِت,إنزلق,website,,http://www.akhawia.net/showthread.php?t=116676
157,Latakian,لـْبيسة,ثباب داخلية,website,,http://www.akhawia.net/showthread.php?t=116676
158,Latakian,زْلاعيم,لوزات,website,,http://www.akhawia.net/showthread.php?t=116676
159,Latakian,خروء,ضعيف,website,,http://www.akhawia.net/showthread.php?t=116676
160,Latakian,اكْعَرو,اطرده,website,,http://www.akhawia.net/showthread.php?t=116676
161,Latakian,اصْغـَرو,اطرده,website,,http://www.akhawia.net/showthread.php?t=116676
162,Latakian,زَمَأ,مر,website,,http://www.akhawia.net/showthread.php?t=116676
163,Latakian,بَحَت,مات,website,,http://www.akhawia.net/showthread.php?t=116676
164,Latakian,طـَشّة,أهبل,website,,http://www.akhawia.net/showthread.php?t=116676
165,Latakian,إيش ياه,ماذا يحدث,website,,http://www.akhawia.net/showthread.php?t=116676
166,Latakian,شو ياه,ماذا يحدث,website,,http://www.akhawia.net/showthread.php?t=116676
167,Latakian,مَجـَـنة,مكينة,website,,http://www.akhawia.net/showthread.php?t=116676
168,Latakian,مشْنِص,محظوظ,website,,http://www.akhawia.net/showthread.php?t=116676
169,Latakian,دشّـو,تركو,website,,http://www.akhawia.net/showthread.php?t=116676
170,Latakian,أهتر,أهبل,website,,http://www.akhawia.net/showthread.php?t=116676
171,Latakian,جيعان,جوعان,website,,http://www.akhawia.net/showthread.php?t=116676
172,Latakian,هبّور,شرشوح,website,,http://www.akhawia.net/showthread.php?t=116676
173,Latakian,تليانة,ممتلئ,website,,http://www.akhawia.net/showthread.php?t=116676
174,Latakian,بتـّو,ابنته,website,,http://www.akhawia.net/showthread.php?t=116676
175,Latakian,أخوّي,أخي,website,,http://www.akhawia.net/showthread.php?t=116676
176,Latakian,زاوة,زاوية,website,,http://www.akhawia.net/showthread.php?t=116676
177,Latakian,هردبشت,شخص أحمق,website,,http://www.akhawia.net/showthread.php?t=116676
178,Latakian,هبور,شخص أحمق,website,,http://www.akhawia.net/showthread.php?t=116676
179,Latakian,يا بو,للمناداة,website,,http://www.akhawia.net/showthread.php?t=116676
180,Latakian,مَـش,لا شيء,website,,http://www.akhawia.net/showthread.php?t=116676
181,Latakian,إتـّة,أنت,website,,http://www.akhawia.net/showthread.php?t=116676
182,Latakian,فـَهْنه,يوجد,website,,http://www.akhawia.net/showthread.php?t=116676
183,Latakian,آي,نعم,website,,http://www.akhawia.net/showthread.php?t=116676
184,Latakian,بربيش,خرطوم,website,,http://www.akhawia.net/showthread.php?t=116676
185,Latakian,فا,يوجد,website,,http://www.akhawia.net/showthread.php?t=116676
186,Latakian,إسّا,لسّا,website,,http://www.akhawia.net/showthread.php?t=116676
187,Latakian,يحمّك,دعوة بالشر و الحمى,website,,http://www.akhawia.net/showthread.php?t=116676
188,Latakian,فلوكا,مركب الصيد المتوسط الطول,website,,http://www.akhawia.net/showthread.php?t=116676
189,Latakian,لنش,مركب الصيد الطويل و الكبير,website,,http://www.akhawia.net/showthread.php?t=116676
190,Latakian,بَبّور,سفينة,website,,http://www.akhawia.net/showthread.php?t=116676
191,Latakian,ما عن طـَيبي,عن غير قصد,website,,http://www.akhawia.net/showthread.php?t=116676
192,Latakian,زيح,ابتعد,website,,http://www.akhawia.net/showthread.php?t=116676
193,Latakian,خمخوم,حشري,website,,http://www.akhawia.net/showthread.php?t=116676
194,Latakian,شو دحشك,ليس لك علاقة بالموضوع,website,,http://www.akhawia.net/showthread.php?t=116676
195,Latakian,فط,قفز,website,,http://www.akhawia.net/showthread.php?t=116676
196,Latakian,كـَحَشو,طردو,website,,http://www.akhawia.net/showthread.php?t=116676
197,Latakian,دَرمِل,انقلع من هنا,website,,http://www.akhawia.net/showthread.php?t=116676
198,Latakian,احليء,انقلع من هنا,website,,http://www.akhawia.net/showthread.php?t=116676
199,Latakian,علئة,مشكلة,website,,http://www.akhawia.net/showthread.php?t=116676
200,Latakian,يو عين,يا عين,website,,http://www.akhawia.net/showthread.php?t=116676
201,Latakian,أرؤوعة,بالية,website,,http://www.akhawia.net/showthread.php?t=116676
202,Latakian,مهرهرة,بالية,website,,http://www.akhawia.net/showthread.php?t=116676
203,Latakian,سيبو,اتركه,website,,http://www.akhawia.net/showthread.php?t=116676
204,Latakian,طيك العوفة,يعطيك العافية,website,,http://www.akhawia.net/showthread.php?t=116676
205,Latakian,بسّة,قطة,website,,http://www.akhawia.net/showthread.php?t=116676
206,Latakian,مريّة,مراّة,website,,http://www.akhawia.net/showthread.php?t=116676
207,Latakian,اكْعَر,طَرَد,website,,http://www.akhawia.net/showthread.php?t=116676
208,Latakian,اصْغـَر,طَرَد,website,,http://www.akhawia.net/showthread.php?t=116676
209,Latakian,معتـّر,مسكين,website,,http://www.akhawia.net/showthread.php?t=116676
210,Latakian,بتـّ,بنت,website,,http://www.akhawia.net/showthread.php?t=116676
211,Latakian,لألوء,عديم القيمة,website,,http://www.akhawia.net/showthread.php?t=116676
212,Latakian,لزّ,إقترب,website,,http://www.akhawia.net/showthread.php?t=116676
213,Latakian,حربوْء,ذكي,website,,http://www.akhawia.net/showthread.php?t=116676
214,Latakian,فوِّج,انقلع,website,,http://www.akhawia.net/showthread.php?t=116676
215,Latakian,مسأسئ,مشبع بالسوائل,website,,http://www.akhawia.net/showthread.php?t=116676
216,Latakian,حبْكت,وصلت للذروة,website,,http://www.akhawia.net/showthread.php?t=116676
217,Latakian,شكودري,حجش,website,,http://www.akhawia.net/showthread.php?t=116676
218,Latakian,ولا خَي,يا أخي,website,,http://www.akhawia.net/showthread.php?t=116676
219,Latakian,عيِّن,انظر,website,,http://www.akhawia.net/showthread.php?t=116676
220,Latakian,غريم,كريم وجه,website,,http://www.akhawia.net/showthread.php?t=116676
221,Latakian,تتشيّع,تمني الموت للشخص,website,,http://www.akhawia.net/showthread.php?t=116676
222,Latakian,اعْركا,تكلم معه,website,,http://www.akhawia.net/showthread.php?t=116676
223,Latakian,إيّاعااا,للتعجب الكثير,website,,http://www.akhawia.net/showthread.php?t=116676
224,Latakian,إيّا عزّةة,للتعجب الكثير,website,,http://www.akhawia.net/showthread.php?t=116676
225,Latakian,شَحّاري,للتعجب الكثير,website,,http://www.akhawia.net/showthread.php?t=116676
226,Latakian,عكّيد,شجاع,website,,http://www.akhawia.net/showthread.php?t=116676
227,Latakian,سأرأ,علبة معدنية,website,,http://www.akhawia.net/showthread.php?t=116676
228,Latakian,زنزوءة,مرجوحة,website,,http://www.akhawia.net/showthread.php?t=116676
229,Latakian,برغاليا,بلغاريا,website,,http://www.akhawia.net/showthread.php?t=116676
230,Latakian,شنتيانة,سكين,website,,http://www.akhawia.net/showthread.php?t=116676
231,Latakian,للعلئة,مشكلة,website,,http://www.akhawia.net/showthread.php?t=116676
232,Latakian,بلعِط,تحرك بسرعة,website,,http://www.akhawia.net/showthread.php?t=116676
233,Latakian,لوص,تحرك بسرعة,website,,http://www.akhawia.net/showthread.php?t=116676
234,Latakian,يعطيك العوفة,يعطيك العافية,Questionnaire,,
235,Latakian,لأ ولو,للإندهاش الشديد,Questionnaire,,
236,Latakian,كيفا,كيفك,Questionnaire,,
237,Latakian,بحيي,بحر,Questionnaire,,
238,Latakian,فدان,الثور,Questionnaire,,
239,Latakian,الكريك,اليونان,Questionnaire,,
240,Latakian,الشين,جراب,Questionnaire,,
241,Latakian,استحكهنه,تأكد منه,Questionnaire,,
242,Latakian,كوهين,شخص الشديد المكر,Questionnaire,,
243,Latakian,ضبتّك,رايتك بينما كنت تحاول الاختباء مني,Questionnaire,,
244,Latakian,كشة,مجموعة حمام,Questionnaire,,
245,Latakian,خسا وعشين,خمسة وعشرين,Questionnaire,,
246,Latakian,خسين,خمسين,Questionnaire,,
247,Latakian,شو خبر,ماذا حدث؟؟,Questionnaire,,
248,Latakian,على بنى,على اساس,Questionnaire,,
249,Latakian,وازكان,واذا,Questionnaire,,
250,Latakian,عبكرة الصبح,الصباح الباكر,Questionnaire,,
251,Latakian,امسيهنه,البارحة,Questionnaire,,
252,Latakian,اليومه,اليوم,Questionnaire,,
253,Latakian,القصة,الحبيبة,Questionnaire,,
254,Latakian,كركمة,عجوز,Questionnaire,,
255,Latakian,أبّع ركيد,أسرع بالركض,website,,https://www.christian-guys.net/vb/forum/%D9%81%D8%B1%D9%81%D8%B4%D8%A9/%D8%B5%D9%88%D8%B1-%D9%88-%D8%B1%D8%B3%D9%88%D9%85%D8%A7%D8%AA/%D8%AA%D8%B3%D8%A7%D9%84%D9%8A-%D9%84%D9%84%D8%B5%D9%88%D8%A8%D8%AD/14908-%D9%85%D8%B5%D8%B7%D9%84%D8%AD%D8%A7%D8%AA-%D8%B6%D9%8A%D8%B9%D8%A9-%D8%B6%D8%A7%D9%8A%D8%B9%D8%A9
256,Latakian,آبول,موافق,website,,https://www.christian-guys.net/vb/forum/%D9%81%D8%B1%D9%81%D8%B4%D8%A9/%D8%B5%D9%88%D8%B1-%D9%88-%D8%B1%D8%B3%D9%88%D9%85%D8%A7%D8%AA/%D8%AA%D8%B3%D8%A7%D9%84%D9%8A-%D9%84%D9%84%D8%B5%D9%88%D8%A8%D8%AD/14908-%D9%85%D8%B5%D8%B7%D9%84%D8%AD%D8%A7%D8%AA-%D8%B6%D9%8A%D8%B9%D8%A9-%D8%B6%D8%A7%D9%8A%D8%B9%D8%A9
257,Latakian,اتلسّع,اتناول الطعام,website,,https://www.christian-guys.net/vb/forum/%D9%81%D8%B1%D9%81%D8%B4%D8%A9/%D8%B5%D9%88%D8%B1-%D9%88-%D8%B1%D8%B3%D9%88%D9%85%D8%A7%D8%AA/%D8%AA%D8%B3%D8%A7%D9%84%D9%8A-%D9%84%D9%84%D8%B5%D9%88%D8%A8%D8%AD/14908-%D9%85%D8%B5%D8%B7%D9%84%D8%AD%D8%A7%D8%AA-%D8%B6%D9%8A%D8%B9%D8%A9-%D8%B6%D8%A7%D9%8A%D8%B9%D8%A9
258,Latakian,أتوسة,قليلا,website,,https://ya-shabab.yoo7.com/t57-topic
259,Latakian,أدّوم,مطرقة,website,,https://www.christian-guys.net/vb/forum/%D9%81%D8%B1%D9%81%D8%B4%D8%A9/%D8%B5%D9%88%D8%B1-%D9%88-%D8%B1%D8%B3%D9%88%D9%85%D8%A7%D8%AA/%D8%AA%D8%B3%D8%A7%D9%84%D9%8A-%D9%84%D9%84%D8%B5%D9%88%D8%A8%D8%AD/14908-%D9%85%D8%B5%D8%B7%D9%84%D8%AD%D8%A7%D8%AA-%D8%B6%D9%8A%D8%B9%D8%A9-%D8%B6%D8%A7%D9%8A%D8%B9%D8%A9
260,Latakian,استحكيه,تكلم معه,website,,https://www.christian-guys.net/vb/forum/%D9%81%D8%B1%D9%81%D8%B4%D8%A9/%D8%B5%D9%88%D8%B1-%D9%88-%D8%B1%D8%B3%D9%88%D9%85%D8%A7%D8%AA/%D8%AA%D8%B3%D8%A7%D9%84%D9%8A-%D9%84%D9%84%D8%B5%D9%88%D8%A8%D8%AD/14908-%D9%85%D8%B5%D8%B7%D9%84%D8%AD%D8%A7%D8%AA-%D8%B6%D9%8A%D8%B9%D8%A9-%D8%B6%D8%A7%D9%8A%D8%B9%D8%A9
261,Latakian,ألاشين,جوارب,website,,https://www.christian-guys.net/vb/forum/%D9%81%D8%B1%D9%81%D8%B4%D8%A9/%D8%B5%D9%88%D8%B1-%D9%88-%D8%B1%D8%B3%D9%88%D9%85%D8%A7%D8%AA/%D8%AA%D8%B3%D8%A7%D9%84%D9%8A-%D9%84%D9%84%D8%B5%D9%88%D8%A8%D8%AD/14908-%D9%85%D8%B5%D8%B7%D9%84%D8%AD%D8%A7%D8%AA-%D8%B6%D9%8A%D8%B9%D8%A9-%D8%B6%D8%A7%D9%8A%D8%B9%D8%A9
262,Latakian,انئلع,أغرب عن وجهي,website,,https://www.christian-guys.net/vb/forum/%D9%81%D8%B1%D9%81%D8%B4%D8%A9/%D8%B5%D9%88%D8%B1-%D9%88-%D8%B1%D8%B3%D9%88%D9%85%D8%A7%D8%AA/%D8%AA%D8%B3%D8%A7%D9%84%D9%8A-%D9%84%D9%84%D8%B5%D9%88%D8%A8%D8%AD/14908-%D9%85%D8%B5%D8%B7%D9%84%D8%AD%D8%A7%D8%AA-%D8%B6%D9%8A%D8%B9%D8%A9-%D8%B6%D8%A7%D9%8A%D8%B9%D8%A9
263,Latakian,انعفطوا,  ألقي القبض عليهم,website,,https://www.christian-guys.net/vb/forum/%D9%81%D8%B1%D9%81%D8%B4%D8%A9/%D8%B5%D9%88%D8%B1-%D9%88-%D8%B1%D8%B3%D9%88%D9%85%D8%A7%D8%AA/%D8%AA%D8%B3%D8%A7%D9%84%D9%8A-%D9%84%D9%84%D8%B5%D9%88%D8%A8%D8%AD/14908-%D9%85%D8%B5%D8%B7%D9%84%D8%AD%D8%A7%D8%AA-%D8%B6%D9%8A%D8%B9%D8%A9-%D8%B6%D8%A7%D9%8A%D8%B9%D8%A9
264,Latakian,آي آي,نعم نعم,website,,https://www.christian-guys.net/vb/forum/%D9%81%D8%B1%D9%81%D8%B4%D8%A9/%D8%B5%D9%88%D8%B1-%D9%88-%D8%B1%D8%B3%D9%88%D9%85%D8%A7%D8%AA/%D8%AA%D8%B3%D8%A7%D9%84%D9%8A-%D9%84%D9%84%D8%B5%D9%88%D8%A8%D8%AD/14908-%D9%85%D8%B5%D8%B7%D9%84%D8%AD%D8%A7%D8%AA-%D8%B6%D9%8A%D8%B9%D8%A9-%D8%B6%D8%A7%D9%8A%D8%B9%D8%A9
265,Latakian,اينجنور,مهندس,website,,https://www.christian-guys.net/vb/forum/%D9%81%D8%B1%D9%81%D8%B4%D8%A9/%D8%B5%D9%88%D8%B1-%D9%88-%D8%B1%D8%B3%D9%88%D9%85%D8%A7%D8%AA/%D8%AA%D8%B3%D8%A7%D9%84%D9%8A-%D9%84%D9%84%D8%B5%D9%88%D8%A8%D8%AD/14908-%D9%85%D8%B5%D8%B7%D9%84%D8%AD%D8%A7%D8%AA-%D8%B6%D9%8A%D8%B9%D8%A9-%D8%B6%D8%A7%D9%8A%D8%B9%D8%A9
266,Latakian,بحّتو,ضربه ضربا مبرحا,website,,https://www.christian-guys.net/vb/forum/%D9%81%D8%B1%D9%81%D8%B4%D8%A9/%D8%B5%D9%88%D8%B1-%D9%88-%D8%B1%D8%B3%D9%88%D9%85%D8%A7%D8%AA/%D8%AA%D8%B3%D8%A7%D9%84%D9%8A-%D9%84%D9%84%D8%B5%D9%88%D8%A8%D8%AD/14908-%D9%85%D8%B5%D8%B7%D9%84%D8%AD%D8%A7%D8%AA-%D8%B6%D9%8A%D8%B9%D8%A9-%D8%B6%D8%A7%D9%8A%D8%B9%D8%A9
267,Latakian,برطيل,رشوة,website,,https://www.christian-guys.net/vb/forum/%D9%81%D8%B1%D9%81%D8%B4%D8%A9/%D8%B5%D9%88%D8%B1-%D9%88-%D8%B1%D8%B3%D9%88%D9%85%D8%A7%D8%AA/%D8%AA%D8%B3%D8%A7%D9%84%D9%8A-%D9%84%D9%84%D8%B5%D9%88%D8%A8%D8%AD/14908-%D9%85%D8%B5%D8%B7%D9%84%D8%AD%D8%A7%D8%AA-%D8%B6%D9%8A%D8%B9%D8%A9-%D8%B6%D8%A7%D9%8A%D8%B9%D8%A9
268,Latakian,بزّاقة,من الحشرات الزاحفة,website,,https://www.christian-guys.net/vb/forum/%D9%81%D8%B1%D9%81%D8%B4%D8%A9/%D8%B5%D9%88%D8%B1-%D9%88-%D8%B1%D8%B3%D9%88%D9%85%D8%A7%D8%AA/%D8%AA%D8%B3%D8%A7%D9%84%D9%8A-%D9%84%D9%84%D8%B5%D9%88%D8%A8%D8%AD/14908-%D9%85%D8%B5%D8%B7%D9%84%D8%AD%D8%A7%D8%AA-%D8%B6%D9%8A%D8%B9%D8%A9-%D8%B6%D8%A7%D9%8A%D8%B9%D8%A9
